root_ancestor,domain,measure_1,measure_2,tree_1,tree_2
1076,"People, Work & Living Conditions",Population structure by sex,Population in jobless households,1076,1082
1076,"People, Work & Living Conditions",Population structure by sex,"Population having neither a bath, nor a shower, nor indoor flushing toilet in their household by poverty status",1076,1081
1076,"People, Work & Living Conditions",Population structure by sex,Population unable to keep home adequately warm by poverty status,1076,1087
1076,"People, Work & Living Conditions",Population structure by sex,"Population living in households considering that they suffer from noise, by poverty status",1076,1084
1076,"People, Work & Living Conditions",Population structure by sex,Population with confidence in EU institutions by institution,1076,1091
1076,"People, Work & Living Conditions",Population structure by sex,Population as a percentage of EU27 (from population,1076,1077
1076,"People, Work & Living Conditions",Population structure by sex,Population without the citizenship of the reporting country,1076,1094
1076,"People, Work & Living Conditions",Population structure by detailed age group,Population in jobless households,1076,1082
1076,"People, Work & Living Conditions",Population structure by detailed age group,"Population having neither a bath, nor a shower, nor indoor flushing toilet in their household by poverty status",1076,1081
1076,"People, Work & Living Conditions",Population structure by detailed age group,Population unable to keep home adequately warm by poverty status,1076,1087
1076,"People, Work & Living Conditions",Population structure by detailed age group,"Population living in households considering that they suffer from noise, by poverty status",1076,1084
1076,"People, Work & Living Conditions",Population structure by detailed age group,Population with confidence in EU institutions by institution,1076,1091
1076,"People, Work & Living Conditions",Population structure by detailed age group,Population as a percentage of EU27 (from population,1076,1077
1076,"People, Work & Living Conditions",Population structure by detailed age group,Population without the citizenship of the reporting country,1076,1094
1076,"People, Work & Living Conditions",Population in jobless households,Population on 1 January by sex and by age group,1082,1076
1076,"People, Work & Living Conditions",Population in jobless households,Population density by metropolitan regions,1082,1076
1076,"People, Work & Living Conditions",Population in jobless households,"Population having neither a bath, nor a shower, nor indoor flushing toilet in their household by poverty status",1082,1081
1076,"People, Work & Living Conditions",Population in jobless households,Population unable to keep home adequately warm by poverty status,1082,1087
1076,"People, Work & Living Conditions",Population in jobless households,"Population living in households considering that they suffer from noise, by poverty status",1082,1084
1076,"People, Work & Living Conditions",Population in jobless households,Population with confidence in EU institutions by institution,1082,1091
1076,"People, Work & Living Conditions",Population in jobless households,"Population, aged 15-74 - EU labour force survey",1082,1076
1076,"People, Work & Living Conditions",Population in jobless households,Population on 1 January,1082,1076
1076,"People, Work & Living Conditions",Population in jobless households,Population as a percentage of EU27 (from population,1082,1077
1076,"People, Work & Living Conditions",Population in jobless households,"Population change - crude rates of total change, natural change and net migration plus adjustment",1082,1076
