measure,domain_true,domain_predicted,correct,cluster,cluster_majority_domain,cluster_purity,cluster_n_gt_measures,cluster_n_domains,error_source
Inability to face unexpected financial expenses by NUTS regions,"People, Work & Living Conditions","People, Work & Living Conditions",True,883,"People, Work & Living Conditions",1.0,1,1,correct
"Arrears (mortgage or rent, utility bills or hire purchase) by NUTS regions","People, Work & Living Conditions","People, Work & Living Conditions",True,111,"People, Work & Living Conditions",1.0,1,1,correct
"Children (aged 0 to 17) having neither a bath, nor a shower in their dwelling - EU-SILC survey","People, Work & Living Conditions","People, Work & Living Conditions",True,212,"People, Work & Living Conditions",1.0,2,1,correct
Children (aged 0 to 17) not having indoor flushing toilet for the sole use of their household - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,212,"People, Work & Living Conditions",1.0,2,1,correct
"Severe housing deprivation rate by age, sex and poverty status - EU-SILC survey","People, Work & Living Conditions","People, Work & Living Conditions",True,1722,"People, Work & Living Conditions",1.0,14,1,correct
Severe housing deprivation rate by degree of urbanisation - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1722,"People, Work & Living Conditions",1.0,14,1,correct
Severe housing deprivation rate by income quintile - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1722,"People, Work & Living Conditions",1.0,14,1,correct
"Material and social deprivation rate by age, sex and educational attainment level","People, Work & Living Conditions","People, Work & Living Conditions",True,1100,"People, Work & Living Conditions",1.0,5,1,correct
Material and social deprivation rate by tenure status,"People, Work & Living Conditions","People, Work & Living Conditions",True,1100,"People, Work & Living Conditions",1.0,5,1,correct
Material and social deprivation rate by age and sex,"People, Work & Living Conditions","People, Work & Living Conditions",True,1100,"People, Work & Living Conditions",1.0,5,1,correct
Material and social deprivation rate by NUTS regions,"People, Work & Living Conditions","People, Work & Living Conditions",True,1100,"People, Work & Living Conditions",1.0,5,1,correct
Material and social deprivation rate by degree of urbanisation,"People, Work & Living Conditions","People, Work & Living Conditions",True,1100,"People, Work & Living Conditions",1.0,5,1,correct
Severe material and social deprivation by NUTS region,"People, Work & Living Conditions","People, Work & Living Conditions",True,1722,"People, Work & Living Conditions",1.0,14,1,correct
Arrears on non-housing bills by risk of poverty threshold,"People, Work & Living Conditions","People, Work & Living Conditions",True,113,"People, Work & Living Conditions",1.0,2,1,correct
Arrears on non-housing bills by income quintile,"People, Work & Living Conditions","People, Work & Living Conditions",True,113,"People, Work & Living Conditions",1.0,2,1,correct
Loans (excluding mortgages on purchase of main residence) by risk of poverty threshold,"People, Work & Living Conditions",Money & Markets,False,1037,"People, Work & Living Conditions",1.0,2,1,"downstream (LLM domain choice, step 8)"
Loans (excluding mortgages on purchase of main residence) by income quintile,"People, Work & Living Conditions",Money & Markets,False,1037,"People, Work & Living Conditions",1.0,2,1,"downstream (LLM domain choice, step 8)"
Persons with loans for property purposes by risk of poverty threshold,"People, Work & Living Conditions","People, Work & Living Conditions",True,1423,"People, Work & Living Conditions",1.0,5,1,correct
Persons with loans for transport purposes by risk of poverty threshold,"People, Work & Living Conditions","People, Work & Living Conditions",True,1423,"People, Work & Living Conditions",1.0,5,1,correct
Persons with loans for education purposes by risk of poverty threshold,"People, Work & Living Conditions","People, Work & Living Conditions",True,1423,"People, Work & Living Conditions",1.0,5,1,correct
Persons with loans to cover daily living expenses by risk of poverty threshold,"People, Work & Living Conditions","People, Work & Living Conditions",True,1423,"People, Work & Living Conditions",1.0,5,1,correct
"Persons with loans for purposes other than property, transport, education and daily living expenses by risk of poverty threshold","People, Work & Living Conditions","People, Work & Living Conditions",True,1423,"People, Work & Living Conditions",1.0,5,1,correct
Persons owning real estate other than main residence by risk of poverty threshold,"People, Work & Living Conditions","People, Work & Living Conditions",True,1393,"People, Work & Living Conditions",1.0,2,1,correct
Persons owning real estate other than main residence by income quantile,"People, Work & Living Conditions","People, Work & Living Conditions",True,1393,"People, Work & Living Conditions",1.0,2,1,correct
Households maintaining the same standard of living using savings by duration and risk of poverty threshold,"People, Work & Living Conditions","People, Work & Living Conditions",True,843,"People, Work & Living Conditions",1.0,1,1,correct
Persons at risk of poverty or social exclusion - EU2030 target,"People, Work & Living Conditions","People, Work & Living Conditions",True,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,correct
Persons at risk of poverty or social exclusion by age and sex,"People, Work & Living Conditions","People, Work & Living Conditions",True,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,correct
Persons at risk of poverty or social exclusion by tenure status - EU strategy,"People, Work & Living Conditions","People, Work & Living Conditions",True,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,correct
Persons at risk of poverty or social exclusion by tenure status,"People, Work & Living Conditions","People, Work & Living Conditions",True,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,correct
Persons at risk of poverty or social exclusion by NUTS regions - EU strategy,"People, Work & Living Conditions","People, Work & Living Conditions",True,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,correct
Persons at risk of poverty or social exclusion by NUTS regions,"People, Work & Living Conditions","People, Work & Living Conditions",True,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,correct
Persons at risk of poverty or social exclusion by degree of urbanisation,"People, Work & Living Conditions","People, Work & Living Conditions",True,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,correct
Gender differences in the aggregate replacement ratio for pensions (excluding other social benefits) - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,700,"People, Work & Living Conditions",1.0,4,1,correct
Gender differences in the at-risk-of-poverty rate by age - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,700,"People, Work & Living Conditions",1.0,4,1,correct
Gender pension gap by age group – EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,699,"People, Work & Living Conditions",1.0,12,1,correct
Gender coverage rate in pension by age group – EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,699,"People, Work & Living Conditions",1.0,12,1,correct
Relative median income ratio (65+) - EU-SILC and ECHP surveys,"People, Work & Living Conditions","People, Work & Living Conditions",True,1621,"People, Work & Living Conditions",1.0,6,1,correct
Aggregate replacement ratio for pensions (excluding other social benefits) by sex - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,61,"People, Work & Living Conditions",1.0,3,1,correct
Relative median income ratio (60+) - EU-SILC survey,"People, Work & Living Conditions","People, Work & Living Conditions",True,1621,"People, Work & Living Conditions",1.0,6,1,correct
Inequality of income distribution S80/S20 income quintile share ratio - EU-SILC and ECHP surveys,"People, Work & Living Conditions","People, Work & Living Conditions",True,920,"People, Work & Living Conditions",1.0,2,1,correct
Relative median at-risk-of-poverty gap of elderly people - EU-SILC and ECHP surveys,"People, Work & Living Conditions","People, Work & Living Conditions",True,1621,"People, Work & Living Conditions",1.0,6,1,correct
"Overall life satisfaction by sex, age and educational attainment",Living Well,Living Well,True,1284,Living Well,1.0,1,1,correct
"Life satisfaction by sex, age, educational attainment and domain",Living Well,"People, Work & Living Conditions",False,1025,Living Well,1.0,1,1,"downstream (LLM domain choice, step 8)"
"Trust in others by sex, age and educational attainment",Living Well,"People, Work & Living Conditions",False,1933,Living Well,1.0,1,1,"downstream (LLM domain choice, step 8)"
"Persons rating their life satisfaction as high, medium or low by sex, age, educational attainment and domain",Living Well,Living Well,True,1400,Living Well,1.0,1,1,correct
